event,duration,transition,velocity
pause,10.0 (~9/8),10.0 (~9/8),0
70,1.0 (1),0.32083333333333336 (~1/4),64 (p)
71,0.5 (1/2),0.5 (1/2),64 (p)
70,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
75,1.5 (~9/8),0.32083333333333336 (~1/4),64 (p)
68,0.5 (1/2),0.5 (1/2),64 (p)
66,0.5 (1/2),0.5 (1/2),64 (p)
68,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
78,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
70,1.0 (1),0.17916666666666667 (~3/16),64 (p)
77,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
63,1.0 (1),0.17916666666666667 (~3/16),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
75,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
68,1.5 (~9/8),0.17916666666666667 (~3/16),64 (p)
77,1.0 (1),1.0 (1),64 (p)
70,1.0 (1),0.32083333333333336 (~1/4),64 (p)
66,0.5 (1/2),0.5 (1/2),64 (p)
65,1.0 (1),0.17916666666666667 (~3/16),64 (p)
75,1.5 (~9/8),0.8208333333333333 (~7/8),64 (p)
63,1.5 (~9/8),0.6791666666666667 (~3/4),64 (p)
73,0.5 (1/2),0.5 (1/2),64 (p)
72,1.0 (1),0.32083333333333336 (~1/4),64 (p)
65,0.5 (1/2),0.5 (1/2),64 (p)
66,1.0 (1),0.6791666666666667 (~3/4),64 (p)
72,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
68,1.0 (1),0.17916666666666667 (~3/16),64 (p)
73,2.5 (~9/8),0.8208333333333333 (~7/8),64 (p)
70,1.5 (~9/8),1.5 (~9/8),64 (p)
68,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
71,0.5 (1/2),0.32083333333333336 (~1/4),64 (p)
66,0.5 (1/2),0.17916666666666667 (~3/16),64 (p)
70,1.0 (1),0.32083333333333336 (~1/4),64 (p)
