event,duration,transition,velocity
64,1.9958333333333331 (~9/8),2.0 (~9/8),127 (ffff)
62,1.9979166666666663 (~9/8),2.0 (~9/8),127 (ffff)
47,0.875 (7/8),0.125 (1/8),127 (ffff)
28,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
31,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
35,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
36,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
40,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
43,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
47,0.5 (1/2),0.125 (1/8),112 (fff)
36,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
40,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
43,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
47,2.622916666666667 (~9/8),0.125 (1/8),112 (fff)
48,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
52,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
55,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
59,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
48,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
52,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
55,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
59,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
60,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
64,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
67,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
71,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
60,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
64,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
67,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
71,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
72,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
76,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
79,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
83,0.1229166666666666 (~1/8),0.125 (1/8),112 (fff)
