event,duration,transition,velocity
62,1.25 (~9/8),0.25 (1/4),115 (fff)
43,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
45,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
55,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
57,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
62,1.0 (1),0.25 (1/4),96 (f)
50,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
55,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
57,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
62,1.5 (~9/8),0.25 (1/4),96 (f)
67,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
69,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
74,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
69,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
67,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
62,0.2666666666666666 (~1/4),0.25 (1/4),96 (f)
57,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
55,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
50,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
62,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
57,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
55,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
45,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
43,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
64,4.177083333333333 (~9/8),0.25 (1/4),115 (fff)
43,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
45,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
55,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
57,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
62,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
50,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
