event,duration,transition,velocity
83,0.9979166666666668 (~1),0.09166666666666666 (~3/32),80 (mp)
64,0.0895833333333333 (~3/32),0.0875 (~3/32),80 (mp)
66,0.0895833333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
67,0.0895833333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
69,0.0895833333333333 (~3/32),0.0875 (~3/32),80 (mp)
71,0.0895833333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
74,0.0895833333333333 (~3/32),0.0875 (~3/32),80 (mp)
76,0.0895833333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
78,0.0895833333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
79,0.0895833333333333 (~3/32),0.0875 (~3/32),80 (mp)
81,0.0895833333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
83,1.3291666666666668 (~9/8),0.09166666666666666 (~3/32),80 (mp)
66,0.0833333333333333 (~3/32),0.0875 (~3/32),80 (mp)
64,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
62,0.0833333333333333 (~3/32),0.07083333333333333 (~1/16),80 (mp)
80,0.33125 (~1/4),0.020833333333333332 (~1/64),80 (mp)
59,0.0833333333333333 (~3/32),0.0875 (~3/32),80 (mp)
54,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
52,0.0833333333333333 (~3/32),0.0875 (~3/32),80 (mp)
50,0.0833333333333333 (~3/32),0.04583333333333333 (~1/32),80 (mp)
78,0.33125 (~1/4),0.04583333333333333 (~1/32),80 (mp)
47,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
42,0.0833333333333333 (~3/32),0.0875 (~3/32),80 (mp)
40,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
42,0.0833333333333333 (~3/32),0.016666666666666666 (~1/64),80 (mp)
83,0.4979166666666667 (~1/2),0.075 (~1/16),80 (mp)
47,0.0833333333333333 (~3/32),0.0875 (~3/32),80 (mp)
50,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
52,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
54,0.0833333333333333 (~3/32),0.0875 (~3/32),80 (mp)
57,0.0833333333333333 (~3/32),0.06666666666666667 (~1/16),80 (mp)
86,0.4979166666666667 (~1/2),0.025 (~1/32),80 (mp)
62,0.0833333333333333 (~3/32),0.0875 (~3/32),80 (mp)
64,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
66,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
69,0.0833333333333333 (~3/32),0.0875 (~3/32),80 (mp)
74,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
76,0.0833333333333333 (~3/32),0.025 (~1/32),80 (mp)
81,0.1229166666666666 (~1/8),0.06666666666666667 (~1/16),80 (mp)
74,0.0833333333333333 (~3/32),0.058333333333333334 (~1/16),80 (mp)
83,0.1229166666666666 (~1/8),0.029166666666666667 (~1/32),80 (mp)
69,0.0833333333333333 (~3/32),0.09166666666666666 (~3/32),80 (mp)
