event,duration,transition,velocity
pause,1.0 (1),1.0 (1),0
71,0.9979166666666668 (~1),1.0 (1),49 (ppp)
68,0.9979166666666668 (~1),1.0 (1),49 (ppp)
67,1.4979166666666666 (~9/8),1.0 (1),49 (ppp)
59,1.9979166666666663 (~9/8),0.5 (1/2),49 (ppp)
69,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
65,2.945833333333333 (~9/8),2.0 (~9/8),49 (ppp)
61,1.9979166666666663 (~9/8),1.0 (1),49 (ppp)
64,1.9458333333333333 (~9/8),2.5 (~9/8),49 (ppp)
58,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
67,1.4729166666666669 (~9/8),0.5 (1/2),49 (ppp)
54,0.4729166666666666 (~1/2),0.5 (1/2),49 (ppp)
57,0.4729166666666666 (~1/2),0.5 (1/2),49 (ppp)
58,0.4729166666666666 (~1/2),0.5 (1/2),49 (ppp)
59,0.4729166666666666 (~1/2),0.5 (1/2),49 (ppp)
64,1.4229166666666666 (~9/8),0.5 (1/2),49 (ppp)
60,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
58,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
67,1.4229166666666666 (~9/8),0.5 (1/2),49 (ppp)
50,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
54,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
57,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
58,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
59,0.4729166666666666 (~1/2),1.0 (1),49 (ppp)
60,0.9979166666666668 (~1),0.5 (1/2),49 (ppp)
64,1.4979166666666666 (~9/8),0.5 (1/2),49 (ppp)
58,1.4979166666666666 (~9/8),0.5 (1/2),49 (ppp)
48,1.4729166666666669 (~9/8),0.5 (1/2),49 (ppp)
67,1.4479166666666667 (~9/8),0.5 (1/2),49 (ppp)
59,0.9479166666666666 (~1),0.5 (1/2),49 (ppp)
50,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
54,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
57,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
58,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
59,0.4729166666666666 (~1/2),1.5 (~9/8),49 (ppp)
66,0.9979166666666668 (~1),1.0 (1),49 (ppp)
62,0.9979166666666668 (~1),1.0 (1),72 (mp)
60,1.4979166666666666 (~9/8),1.0 (1),96 (f)
56,1.8979166666666667 (~9/8),0.5 (1/2),96 (f)
68,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
57,2.945833333333333 (~9/8),2.0 (~9/8),96 (f)
53,1.8979166666666667 (~9/8),1.0 (1),96 (f)
58,0.9479166666666666 (~1),1.625 (~9/8),96 (f)
47,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
48,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
47,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
39,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
57,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
62,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
68,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
72,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
76,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
85,0.7104166666666667 (~3/4),0.75 (3/4),96 (f)
82,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
69,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
56,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
43,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
30,0.4729166666666666 (~1/2),1.0 (1),96 (f)
39,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
51,0.1166666666666666 (~1/8),0.125 (1/8),16 (ppppp)
49,0.3729166666666667 (~1/4),0.125 (1/8),16 (ppppp)
65,0.1166666666666666 (~1/8),0.25 (1/4),16 (ppppp)
62,0.1166666666666666 (~1/8),0.125 (1/8),16 (ppppp)
39,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
73,0.1166666666666666 (~1/8),0.125 (1/8),16 (ppppp)
50,0.3729166666666667 (~1/4),0.125 (1/8),16 (ppppp)
55,0.1166666666666666 (~1/8),0.25 (1/4),16 (ppppp)
69,0.1166666666666666 (~1/8),0.125 (1/8),16 (ppppp)
40,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
65,0.1166666666666666 (~1/8),0.125 (1/8),16 (ppppp)
50,0.3729166666666667 (~1/4),0.125 (1/8),16 (ppppp)
77,0.1166666666666666 (~1/8),0.25 (1/4),16 (ppppp)
49,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
40,0.1229166666666666 (~1/8),0.125 (1/8),16 (ppppp)
49,0.1166666666666666 (~1/8),0.125 (1/8),16 (ppppp)
51,1.4229166666666666 (~9/8),0.5 (1/2),112 (fff)
64,8.547916666666667 (~9/8),1.25 (~9/8),94 (f)
41,0.2479166666666666 (~1/4),0.25 (1/4),94 (f)
37,0.2479166666666666 (~1/4),0.25 (1/4),94 (f)
40,0.2354166666666666 (~1/4),0.75 (3/4),94 (f)
80,0.9979166666666668 (~1),1.0 (1),49 (ppp)
79,0.4729166666666666 (~1/2),0.75 (3/4),74 (mp)
78,0.4979166666666667 (~1/2),0.5 (1/2),74 (mp)
74,0.2354166666666666 (~1/4),0.5 (1/2),74 (mp)
41,0.2479166666666666 (~1/4),0.25 (1/4),112 (fff)
37,0.2479166666666666 (~1/4),0.25 (1/4),94 (f)
40,0.2354166666666666 (~1/4),0.5 (1/2),94 (f)
68,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
67,0.7479166666666667 (~3/4),0.75 (3/4),49 (ppp)
66,0.9979166666666668 (~1),1.0 (1),49 (ppp)
62,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
57,0.9979166666666668 (~1),1.0 (1),49 (ppp)
60,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
68,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
57,2.233333333333333 (~9/8),1.25 (~9/8),49 (ppp)
51,1.8979166666666667 (~9/8),1.0 (1),96 (f)
