event,duration,transition,velocity
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4729166666666666 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
49,1.4979166666666666 (~9/8),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
57,1.4979166666666666 (~9/8),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
51,2.9479166666666665 (~9/8),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4729166666666666 (~1/2),1.5 (~9/8),33 (pppp)
56,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
50,0.9979166666666668 (~1),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
48,0.9979166666666668 (~1),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
51,0.9979166666666668 (~1),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
49,1.9729166666666669 (~9/8),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
38,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
41,0.4729166666666666 (~1/2),1.0 (1),33 (pppp)
69,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
71,0.4979166666666667 (~1/2),0.5 (1/2),54 (pp)
74,1.9979166666666663 (~9/8),2.0 (~9/8),60 (pp)
73,0.4979166666666667 (~1/2),0.5 (1/2),84 (mf)
60,0.4979166666666667 (~1/2),0.5 (1/2),90 (mf)
51,2.847916666666667 (~9/8),1.0 (1),96 (f)
41,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
38,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
41,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
38,0.4729166666666666 (~1/2),0.5 (1/2),96 (f)
49,1.4979166666666666 (~9/8),0.5 (1/2),96 (f)
38,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
