event,duration,transition,velocity
71,1.4979166666666666 (~9/8),0.125 (1/8),33 (pppp)
60,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
68,0.1229166666666666 (~1/8),1.125 (9/8),33 (pppp)
75,0.4979166666666667 (~1/2),0.375 (~1/2),33 (pppp)
52,0.6229166666666667 (~1/2),0.125 (1/8),33 (pppp)
65,0.9979166666666668 (~1),0.5 (1/2),33 (pppp)
60,0.9979166666666668 (~1),0.5 (1/2),33 (pppp)
66,0.4979166666666667 (~1/2),1.0 (1),33 (pppp)
69,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
70,0.2479166666666666 (~1/4),0.125 (1/8),49 (ppp)
64,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
69,0.2479166666666666 (~1/4),0.125 (1/8),49 (ppp)
58,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
66,0.9979166666666668 (~1),0.25 (1/4),49 (ppp)
50,0.4979166666666667 (~1/2),0.75 (3/4),33 (pppp)
63,0.4979166666666667 (~1/2),0.25 (1/4),49 (ppp)
49,0.4979166666666667 (~1/2),0.375 (~1/2),33 (pppp)
48,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
59,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
62,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
70,1.2479166666666666 (~9/8),0.5 (1/2),33 (pppp)
63,0.7479166666666667 (~3/4),0.25 (1/4),33 (pppp)
83,0.08125 (~3/32),0.08333333333333333 (~3/32),33 (pppp)
76,0.08125 (~3/32),0.08333333333333333 (~3/32),33 (pppp)
81,0.08125 (~3/32),0.08333333333333333 (~3/32),33 (pppp)
79,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
80,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
70,1.9979166666666663 (~9/8),0.25 (1/4),33 (pppp)
81,1.7479166666666666 (~9/8),0.25 (1/4),33 (pppp)
74,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
76,0.7479166666666667 (~3/4),0.75 (3/4),33 (pppp)
77,0.2479166666666666 (~1/4),0.75 (3/4),33 (pppp)
78,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
64,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
67,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
66,0.2479166666666666 (~1/4),0.125 (1/8),49 (ppp)
76,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
75,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),33 (pppp)
74,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),33 (pppp)
69,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),33 (pppp)
73,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
67,0.4979166666666667 (~1/2),0.25 (1/4),49 (ppp)
72,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
71,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
70,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
80,0.7479166666666667 (~3/4),0.25 (1/4),33 (pppp)
50,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
62,0.4979166666666667 (~1/2),0.25 (1/4),49 (ppp)
79,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
83,0.7479166666666667 (~3/4),0.5 (1/2),33 (pppp)
76,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
86,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
90,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
89,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
70,0.3729166666666667 (~1/4),0.5 (1/2),33 (pppp)
86,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
68,0.3729166666666667 (~1/4),0.5 (1/2),33 (pppp)
85,0.2479166666666666 (~1/4),0.4375 (~1/2),33 (pppp)
62,1.0604166666666666 (~1),0.1875 (3/16),33 (pppp)
78,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
73,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
70,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
74,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
81,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
80,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
89,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
78,0.7479166666666667 (~3/4),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
69,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
69,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
71,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
85,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
82,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
77,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
78,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
76,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
73,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
77,0.9979166666666668 (~1),1.25 (~9/8),33 (pppp)
49,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
54,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
51,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
52,0.9979166666666668 (~1),2.0 (~9/8),49 (ppp)
77,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
75,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
73,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
62,1.4958333333333336 (~9/8),1.5 (~9/8),49 (ppp)
65,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
61,0.9979166666666668 (~1),1.0 (1),49 (ppp)
59,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
90,7.997916666666667 (~9/8),1.0 (1),33 (pppp)
62,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
65,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
73,2.497916666666667 (~9/8),2.5 (~9/8),33 (pppp)
74,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
69,0.9979166666666668 (~1),1.0 (1),33 (pppp)
61,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
66,1.4979166666666666 (~9/8),1.5 (~9/8),33 (pppp)
65,1.4979166666666666 (~9/8),0.5 (1/2),33 (pppp)
91,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
90,0.4979166666666667 (~1/2),1.5 (~9/8),33 (pppp)
71,1.7354166666666662 (~9/8),6.0 (~9/8),33 (pppp)
86,0.9979166666666668 (~1),0.5 (1/2),80 (mp)
71,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
63,1.4979166666666666 (~9/8),1.0 (1),49 (ppp)
71,0.7437499999999998 (~3/4),2.0 (~9/8),33 (pppp)
56,0.9979166666666668 (~1),0.5 (1/2),49 (ppp)
71,1.2458333333333333 (~9/8),1.5 (~9/8),33 (pppp)
75,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
71,0.9958333333333333 (~1),2.5 (~9/8),33 (pppp)
88,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
71,0.9979166666666668 (~1),0.5 (1/2),33 (pppp)
58,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
71,0.7437499999999998 (~3/4),2.5 (~9/8),33 (pppp)
60,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
61,0.9979166666666668 (~1),1.0 (1),33 (pppp)
63,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
62,2.497916666666667 (~9/8),2.5 (~9/8),33 (pppp)
71,0.2479166666666666 (~1/4),1.5 (~9/8),33 (pppp)
57,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
71,0.4958333333333332 (~1/2),1.5 (~9/8),33 (pppp)
55,0.2479166666666666 (~1/4),1.0 (1),33 (pppp)
71,0.2479166666666666 (~1/4),1.5 (~9/8),33 (pppp)
53,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
71,0.4958333333333332 (~1/2),1.5 (~9/8),33 (pppp)
52,0.2479166666666666 (~1/4),1.0 (1),33 (pppp)
71,2.497916666666667 (~9/8),0.5 (1/2),33 (pppp)
86,1.9979166666666663 (~9/8),2.0 (~9/8),33 (pppp)
61,1.9979166666666663 (~9/8),0.5 (1/2),33 (pppp)
46,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
55,2.997916666666667 (~9/8),1.0 (1),96 (f)
64,1.9979166666666663 (~9/8),0.5 (1/2),33 (pppp)
41,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
44,1.9979166666666663 (~9/8),0.5 (1/2),96 (f)
58,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
67,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
69,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
66,1.9979166666666663 (~9/8),1.0 (1),96 (f)
48,0.9979166666666668 (~1),1.0 (1),96 (f)
65,0.9979166666666668 (~1),0.5 (1/2),96 (f)
51,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
53,0.9979166666666668 (~1),1.0 (1),96 (f)
69,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
74,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
67,1.9979166666666663 (~9/8),0.5 (1/2),96 (f)
57,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
60,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
59,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
65,3.997916666666667 (~9/8),0.5 (1/2),96 (f)
40,0.4979166666666667 (~1/2),0.5 (1/2),96 (f)
48,1.4979166666666666 (~9/8),1.5 (~9/8),96 (f)
46,1.4958333333333336 (~9/8),2.5 (~9/8),96 (f)
71,0.9979166666666668 (~1),0.5 (1/2),49 (ppp)
66,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
75,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
71,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
62,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
65,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
69,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
67,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
63,1.9979166666666663 (~9/8),2.0 (~9/8),49 (ppp)
62,0.9979166666666668 (~1),1.5 (~9/8),49 (ppp)
60,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
70,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
63,1.4979166666666666 (~9/8),1.5 (~9/8),33 (pppp)
64,0.9958333333333333 (~1),1.0 (1),33 (pppp)
63,1.2458333333333333 (~9/8),1.5 (~9/8),33 (pppp)
55,6.997916666666667 (~9/8),2.0 (~9/8),33 (pppp)
77,0.2479166666666666 (~1/4),1.0 (1),33 (pppp)
69,0.2479166666666666 (~1/4),4.0 (~9/8),33 (pppp)
77,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
81,0.8729166666666667 (~7/8),0.875 (7/8),49 (ppp)
77,0.1229166666666666 (~1/8),0.125 (1/8),49 (ppp)
70,0.8729166666666667 (~7/8),0.875 (7/8),49 (ppp)
73,0.1229166666666666 (~1/8),0.125 (1/8),49 (ppp)
72,0.9979166666666668 (~1),0.875 (7/8),49 (ppp)
83,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
69,0.7479166666666667 (~3/4),0.75 (3/4),49 (ppp)
73,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
76,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
75,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
64,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
66,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
67,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
65,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
74,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
72,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
66,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
68,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
70,2.497916666666667 (~9/8),0.25 (1/4),33 (pppp)
48,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
62,1.9979166666666663 (~9/8),2.0 (~9/8),33 (pppp)
71,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
72,0.4979166666666667 (~1/2),0.375 (~1/2),33 (pppp)
74,0.1229166666666666 (~1/8),0.125 (1/8),33 (pppp)
72,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
67,1.4979166666666666 (~9/8),0.5 (1/2),33 (pppp)
65,1.4979166666666666 (~9/8),1.5 (~9/8),49 (ppp)
66,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
69,0.33125 (~1/4),0.3333333333333333 (~1/4),49 (ppp)
68,0.33125 (~1/4),0.3333333333333333 (~1/4),49 (ppp)
57,0.33125 (~1/4),0.3333333333333333 (~1/4),49 (ppp)
59,0.7479166666666667 (~3/4),0.75 (3/4),49 (ppp)
60,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
62,1.4979166666666666 (~9/8),0.5 (1/2),49 (ppp)
73,0.1229166666666666 (~1/8),1.0 (1),33 (pppp)
51,0.4979166666666667 (~1/2),1.625 (~9/8),49 (ppp)
65,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
69,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
65,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
58,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),96 (f)
61,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),96 (f)
59,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),96 (f)
58,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
66,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
63,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
60,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
62,0.1229166666666666 (~1/8),0.375 (~1/2),96 (f)
65,0.2479166666666666 (~1/4),0.5 (1/2),96 (f)
