event,duration,transition,velocity
pause,0.5 (1/2),0.5 (1/2),0
76,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
77,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
67,0.9979166666666668 (~1),0.75 (3/4),80 (mp)
59,0.5 (1/2),0.25 (1/4),96 (f)
73,0.2479166666666666 (~1/4),0.5 (1/2),80 (mp)
66,0.4729166666666666 (~1/2),0.5 (1/2),80 (mp)
63,0.7104166666666667 (~3/4),0.25 (1/4),80 (mp)
55,0.5 (1/2),0.5 (1/2),100 (f)
68,0.2479166666666666 (~1/4),0.25 (1/4),92 (f)
62,0.2479166666666666 (~1/4),0.5 (1/2),96 (f)
48,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
71,0.9479166666666666 (~1),0.5 (1/2),112 (fff)
50,0.9979166666666668 (~1),0.5 (1/2),112 (fff)
60,0.33125 (~1/4),0.5 (1/2),127 (ffff)
57,0.33125 (~1/4),0.5 (1/2),115 (fff)
58,0.6583333333333332 (~3/4),1.0 (1),115 (fff)
68,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
58,0.1645833333333333 (~3/16),0.25 (1/4),58 (pp)
71,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
58,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
62,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
57,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
65,0.9979166666666668 (~1),0.25 (1/4),112 (fff)
57,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
66,0.2479166666666666 (~1/4),0.25 (1/4),112 (fff)
57,0.2354166666666666 (~1/4),0.25 (1/4),97 (f)
72,0.2479166666666666 (~1/4),0.25 (1/4),112 (fff)
67,1.177083333333333 (~9/8),1.25 (~9/8),96 (f)
73,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
62,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
71,0.2479166666666666 (~1/4),0.25 (1/4),42 (ppp)
57,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
70,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
41,0.1229166666666666 (~1/8),0.5 (1/2),34 (pppp)
37,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
43,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
53,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
64,1.4229166666666666 (~9/8),0.5 (1/2),49 (ppp)
56,0.7104166666666667 (~3/4),0.75 (3/4),49 (ppp)
51,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
66,1.1854166666666666 (~9/8),0.25 (1/4),96 (f)
58,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
59,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
56,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
57,1.1854166666666666 (~9/8),0.25 (1/4),49 (ppp)
60,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
65,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
40,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
62,0.9479166666666666 (~1),0.25 (1/4),103 (ff)
58,0.1645833333333333 (~3/16),0.25 (1/4),115 (fff)
60,0.1645833333333333 (~3/16),0.25 (1/4),115 (fff)
61,0.1645833333333333 (~3/16),0.25 (1/4),115 (fff)
55,0.7104166666666667 (~3/4),0.25 (1/4),96 (f)
53,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
64,0.2354166666666666 (~1/4),0.25 (1/4),73 (mp)
60,0.7104166666666667 (~3/4),0.25 (1/4),96 (f)
53,0.2479166666666666 (~1/4),0.25 (1/4),83 (mf)
63,0.2354166666666666 (~1/4),0.25 (1/4),66 (p)
57,1.4229166666666666 (~9/8),0.25 (1/4),96 (f)
54,0.2354166666666666 (~1/4),0.25 (1/4),76 (mp)
61,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
65,0.9541666666666664 (~1),1.0 (1),96 (f)
66,0.9416666666666664 (~1),1.0 (1),41 (ppp)
63,0.48333333333333317 (~1/2),0.5 (1/2),86 (mf)
64,0.2458333333333332 (~1/4),0.5 (1/2),96 (f)
60,0.4708333333333332 (~1/2),0.5 (1/2),96 (f)
54,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
47,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
46,0.1229166666666666 (~1/8),0.25 (1/4),73 (mp)
73,1.4979166666666666 (~9/8),0.5 (1/2),49 (ppp)
60,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
52,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
54,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
53,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
67,0.7479166666666667 (~3/4),0.25 (1/4),33 (pppp)
50,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
40,0.9979166666666668 (~1),0.25 (1/4),49 (ppp)
69,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
58,0.7104166666666667 (~3/4),0.25 (1/4),49 (ppp)
51,0.1229166666666666 (~1/8),0.25 (1/4),70 (p)
50,0.4729166666666666 (~1/2),0.25 (1/4),91 (f)
61,0.2479166666666666 (~1/4),0.25 (1/4),112 (fff)
67,0.2479166666666666 (~1/4),0.25 (1/4),106 (ff)
77,0.2479166666666666 (~1/4),0.25 (1/4),100 (f)
76,0.9979166666666668 (~1),0.25 (1/4),112 (fff)
68,0.2354166666666666 (~1/4),0.25 (1/4),118 (fff)
63,0.1229166666666666 (~1/8),0.25 (1/4),127 (ffff)
66,0.1229166666666666 (~1/8),0.5 (1/2),112 (fff)
48,0.2354166666666666 (~1/4),0.25 (1/4),109 (ff)
31,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
69,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
60,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
64,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
53,0.1229166666666666 (~1/8),0.25 (1/4),91 (f)
66,0.2479166666666666 (~1/4),0.25 (1/4),86 (mf)
56,0.1229166666666666 (~1/8),0.25 (1/4),80 (mp)
50,0.2354166666666666 (~1/4),0.25 (1/4),80 (mp)
48,0.1229166666666666 (~1/8),0.375 (~1/2),80 (mp)
69,0.1166666666666666 (~1/8),0.125 (1/8),88 (mf)
58,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
69,0.1166666666666666 (~1/8),0.375 (~1/2),96 (f)
79,1.4229166666666666 (~9/8),0.5 (1/2),96 (f)
71,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
63,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
72,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
65,0.48333333333333317 (~1/2),0.5 (1/2),96 (f)
64,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
80,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
74,0.2354166666666666 (~1/4),0.25 (1/4),112 (fff)
82,0.2479166666666666 (~1/4),0.25 (1/4),107 (ff)
77,0.2354166666666666 (~1/4),0.25 (1/4),101 (ff)
72,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
78,0.1979166666666666 (~3/16),0.20833333333333334 (~3/16),97 (f)
84,0.08125 (~3/32),0.08333333333333333 (~3/32),105 (ff)
