event,duration,transition,velocity
71,1.4979166666666666 (~9/8),0.125 (1/8),39 (pppp)
60,0.1229166666666666 (~1/8),0.125 (1/8),45 (ppp)
67,0.1229166666666666 (~1/8),1.25 (~9/8),45 (ppp)
75,0.4979166666666667 (~1/2),0.375 (~1/2),45 (ppp)
52,0.5916666666666667 (~1/2),0.125 (1/8),39 (pppp)
65,0.9979166666666668 (~1),0.5 (1/2),45 (ppp)
60,0.9979166666666668 (~1),0.5 (1/2),45 (ppp)
66,0.4729166666666666 (~1/2),1.0 (1),45 (ppp)
69,0.4979166666666667 (~1/2),0.5 (1/2),54 (pp)
70,0.2479166666666666 (~1/4),0.125 (1/8),56 (pp)
64,0.1229166666666666 (~1/8),0.125 (1/8),56 (pp)
69,0.2479166666666666 (~1/4),0.125 (1/8),57 (pp)
58,0.1166666666666666 (~1/8),0.125 (1/8),57 (pp)
66,0.9979166666666668 (~1),0.25 (1/4),58 (pp)
50,0.4729166666666666 (~1/2),0.75 (3/4),58 (pp)
63,0.4729166666666666 (~1/2),0.25 (1/4),56 (pp)
49,0.4729166666666666 (~1/2),0.5354166666666667 (~1/2),55 (pp)
59,0.4375 (~1/2),0.46458333333333335 (~1/2),53 (pp)
62,0.2354166666666666 (~1/4),0.25 (1/4),50 (ppp)
70,1.2104166666666667 (~9/8),0.5 (1/2),57 (pp)
63,0.7104166666666667 (~3/4),0.25 (1/4),45 (ppp)
83,0.08125 (~3/32),0.08333333333333333 (~3/32),58 (pp)
76,0.08125 (~3/32),0.08333333333333333 (~3/32),58 (pp)
81,0.08125 (~3/32),0.08333333333333333 (~3/32),58 (pp)
79,0.2479166666666666 (~1/4),0.25 (1/4),58 (pp)
80,0.4979166666666667 (~1/2),0.25 (1/4),54 (pp)
70,1.8979166666666667 (~9/8),0.25 (1/4),40 (pppp)
81,1.7479166666666666 (~9/8),0.25 (1/4),46 (ppp)
74,0.4979166666666667 (~1/2),0.5 (1/2),42 (ppp)
76,0.7479166666666667 (~3/4),0.75 (3/4),33 (pppp)
77,0.2479166666666666 (~1/4),0.75 (3/4),21 (ppppp)
78,0.4979166666666667 (~1/2),0.25 (1/4),58 (pp)
59,0.2479166666666666 (~1/4),0.25 (1/4),58 (pp)
65,0.3729166666666667 (~1/4),0.25 (1/4),58 (pp)
61,0.2479166666666666 (~1/4),0.125 (1/8),58 (pp)
76,0.1229166666666666 (~1/8),0.125 (1/8),58 (pp)
75,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),58 (pp)
74,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),58 (pp)
69,0.1645833333333333 (~3/16),0.16666666666666666 (~3/16),58 (pp)
73,0.4979166666666667 (~1/2),0.25 (1/4),58 (pp)
67,0.4979166666666667 (~1/2),0.25 (1/4),58 (pp)
72,0.4729166666666666 (~1/2),0.25 (1/4),63 (p)
71,0.2354166666666666 (~1/4),0.25 (1/4),68 (p)
70,0.4979166666666667 (~1/2),0.5 (1/2),68 (p)
80,0.7479166666666667 (~3/4),0.25 (1/4),80 (mp)
50,0.2479166666666666 (~1/4),0.25 (1/4),54 (pp)
62,0.4729166666666666 (~1/2),0.25 (1/4),54 (pp)
79,0.2479166666666666 (~1/4),0.25 (1/4),80 (mp)
83,0.7479166666666667 (~3/4),0.5 (1/2),80 (mp)
76,0.1229166666666666 (~1/8),0.25 (1/4),80 (mp)
86,0.2479166666666666 (~1/4),0.25 (1/4),80 (mp)
90,0.2479166666666666 (~1/4),0.25 (1/4),80 (mp)
89,0.2354166666666666 (~1/4),0.25 (1/4),65 (p)
70,0.1854166666666666 (~3/16),0.5 (1/2),49 (ppp)
75,0.2479166666666666 (~1/4),0.0125 (~1/64),49 (ppp)
83,0.2354166666666666 (~1/4),0.0125 (~1/64),49 (ppp)
86,0.2229166666666666 (~1/4),0.475 (~1/2),49 (ppp)
68,0.1854166666666666 (~3/16),0.5 (1/2),49 (ppp)
77,0.2479166666666666 (~1/4),0.0125 (~1/64),49 (ppp)
81,0.2354166666666666 (~1/4),0.0125 (~1/64),49 (ppp)
85,0.2229166666666666 (~1/4),0.4125 (~1/2),49 (ppp)
62,1.3125 (~9/8),0.1875 (3/16),49 (ppp)
78,0.1229166666666666 (~1/8),0.125 (1/8),45 (ppp)
73,0.1229166666666666 (~1/8),0.125 (1/8),45 (ppp)
67,0.1229166666666666 (~1/8),0.125 (1/8),45 (ppp)
