event,duration,transition,velocity
pause,0.25 (1/4),0.25 (1/4),0
76,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
59,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
67,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
73,0.2354166666666666 (~1/4),0.5 (1/2),33 (pppp)
58,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
63,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
74,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
68,0.7333333333333333 (~3/4),0.75 (3/4),33 (pppp)
74,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
63,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
58,0.2354166666666666 (~1/4),0.5 (1/2),33 (pppp)
73,0.4979166666666667 (~1/2),0.25 (1/4),33 (pppp)
67,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
59,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
76,0.2354166666666666 (~1/4),0.5 (1/2),33 (pppp)
77,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
81,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
48,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
73,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
70,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
73,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
48,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
81,0.2479166666666666 (~1/4),0.25 (1/4),41 (ppp)
77,0.2354166666666666 (~1/4),0.5 (1/2),33 (pppp)
83,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
79,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
61,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
70,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
68,0.2354166666666666 (~1/4),0.25 (1/4),96 (f)
74,0.48333333333333317 (~1/2),0.5 (1/2),96 (f)
68,0.2479166666666666 (~1/4),0.25 (1/4),87 (mf)
69,0.2354166666666666 (~1/4),0.25 (1/4),78 (mp)
73,0.2479166666666666 (~1/4),0.25 (1/4),68 (p)
76,0.2354166666666666 (~1/4),0.25 (1/4),59 (pp)
59,0.2354166666666666 (~1/4),0.5 (1/2),49 (ppp)
77,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
81,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
73,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
70,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
73,0.2354166666666666 (~1/4),0.5 (1/2),49 (ppp)
48,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
81,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
77,0.2354166666666666 (~1/4),0.625 (~3/4),49 (ppp)
47,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
52,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
58,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
68,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
74,0.1229166666666666 (~1/8),0.125 (1/8),81 (mf)
63,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
77,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
49,0.2479166666666666 (~1/4),0.125 (1/8),96 (f)
79,0.5312499999999999 (~1/2),0.625 (~3/4),127 (ffff)
49,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
77,0.2354166666666666 (~1/4),0.25 (1/4),49 (ppp)
63,0.1229166666666666 (~1/8),0.125 (1/8),49 (ppp)
74,0.1166666666666666 (~1/8),0.125 (1/8),64 (p)
68,0.1166666666666666 (~1/8),0.125 (1/8),80 (mp)
58,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
52,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
47,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
77,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
60,0.1166666666666666 (~1/8),0.125 (1/8),81 (mf)
69,0.1166666666666666 (~1/8),0.125 (1/8),65 (p)
63,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
80,0.2354166666666666 (~1/4),0.125 (1/8),96 (f)
38,0.5312499999999999 (~1/2),0.625 (~3/4),127 (ffff)
80,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
63,0.2479166666666666 (~1/4),0.25 (1/4),49 (ppp)
69,0.1229166666666666 (~1/8),0.125 (1/8),49 (ppp)
60,0.1229166666666666 (~1/8),0.125 (1/8),64 (p)
77,0.1166666666666666 (~1/8),0.125 (1/8),80 (mp)
47,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
52,0.1229166666666666 (~1/8),0.125 (1/8),96 (f)
58,0.1166666666666666 (~1/8),0.125 (1/8),96 (f)
