event,duration,transition,velocity
69,0.0833333333333333 (~3/32),0.08541666666666667 (~3/32),80 (mp)
82,0.44999999999999984 (~1/2),0.9145833333333333 (~7/8),80 (mp)
59,0.9979166666666668 (~1),1.0 (1),33 (pppp)
68,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
55,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
61,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
74,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
51,0.9979166666666668 (~1),1.25 (~9/8),33 (pppp)
54,0.2354166666666666 (~1/4),0.25 (1/4),37 (pppp)
65,0.2354166666666666 (~1/4),0.25 (1/4),41 (ppp)
40,0.2354166666666666 (~1/4),0.25 (1/4),45 (ppp)
84,0.7479166666666667 (~3/4),0.75 (3/4),49 (ppp)
57,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
71,0.7479166666666667 (~3/4),0.75 (3/4),49 (ppp)
55,0.1229166666666666 (~1/8),0.25 (1/4),43 (ppp)
70,0.7479166666666667 (~3/4),0.75 (3/4),40 (pppp)
51,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
66,0.4729166666666666 (~1/2),0.5 (1/2),33 (pppp)
64,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
84,0.2354166666666666 (~1/4),0.25 (1/4),33 (pppp)
81,0.0833333333333333 (~3/32),0.08541666666666667 (~3/32),33 (pppp)
70,0.3895833333333333 (~1/2),0.41458333333333336 (~1/2),33 (pppp)
59,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
67,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
85,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
74,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
54,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
65,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
76,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
81,0.2479166666666666 (~1/4),0.25 (1/4),33 (pppp)
70,1.2479166666666666 (~9/8),0.25 (1/4),33 (pppp)
44,0.4729166666666666 (~1/2),0.5 (1/2),33 (pppp)
55,0.2479166666666666 (~1/4),1.25 (~9/8),33 (pppp)
72,0.1229166666666666 (~1/8),0.25 (1/4),33 (pppp)
86,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
54,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
65,0.2479166666666666 (~1/4),0.25 (1/4),96 (f)
76,0.7479166666666667 (~3/4),0.75 (3/4),96 (f)
69,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
59,0.7479166666666667 (~3/4),0.75 (3/4),96 (f)
61,0.1229166666666666 (~1/8),0.25 (1/4),96 (f)
74,0.0833333333333333 (~3/32),0.08541666666666667 (~3/32),49 (ppp)
87,0.0791666666666666 (~3/32),0.16458333333333333 (~3/16),49 (ppp)
76,0.1229166666666666 (~1/8),0.08541666666666667 (~3/32),49 (ppp)
53,0.0791666666666666 (~3/32),0.16458333333333333 (~3/16),49 (ppp)
81,0.0833333333333333 (~3/32),0.08541666666666667 (~3/32),38 (pppp)
70,0.2020833333333332 (~3/16),1.1645833333333333 (~9/8),38 (pppp)
92,0.1229166666666666 (~1/8),0.25 (1/4),16 (ppppp)
67,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
73,0.1229166666666666 (~1/8),0.25 (1/4),49 (ppp)
78,1.0729166666666667 (~9/8),0.25 (1/4),49 (ppp)
