event,duration,transition,velocity
63,0.9979166666666668 (~1),1.0 (1),49 (ppp)
76,0.4958333333333332 (~1/2),1.0 (1),33 (pppp)
48,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
59,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
70,0.2479166666666666 (~1/4),1.0 (1),41 (ppp)
73,1.9979166666666663 (~9/8),2.5 (~9/8),33 (pppp)
86,0.4979166666666667 (~1/2),0.5 (1/2),64 (p)
57,0.4979166666666667 (~1/2),0.5 (1/2),59 (pp)
68,0.4979166666666667 (~1/2),1.0 (1),54 (pp)
79,0.9479166666666666 (~1),1.5 (~9/8),49 (ppp)
66,0.4958333333333332 (~1/2),1.5 (~9/8),33 (pppp)
75,0.4958333333333332 (~1/2),1.0 (1),49 (ppp)
64,0.4958333333333332 (~1/2),1.5 (~9/8),49 (ppp)
72,0.4979166666666667 (~1/2),0.5 (1/2),64 (p)
59,0.4979166666666667 (~1/2),0.5 (1/2),57 (pp)
70,1.4229166666666666 (~9/8),1.5 (~9/8),49 (ppp)
61,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
74,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
69,0.4729166666666666 (~1/2),0.5 (1/2),49 (ppp)
44,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
67,0.2479166666666666 (~1/4),0.5 (1/2),49 (ppp)
54,0.2479166666666666 (~1/4),1.0 (1),49 (ppp)
77,1.4729166666666669 (~9/8),1.25 (~9/8),49 (ppp)
63,0.2458333333333332 (~1/4),1.75 (~9/8),73 (mp)
52,0.2458333333333332 (~1/4),0.5 (1/2),49 (ppp)
60,0.0916666666666666 (~3/32),0.09375 (3/32),49 (ppp)
71,1.33125 (~9/8),1.40625 (~9/8),49 (ppp)
70,0.9479166666666666 (~1),1.0 (1),49 (ppp)
73,0.4979166666666667 (~1/2),0.5 (1/2),49 (ppp)
62,0.9979166666666668 (~1),0.5 (1/2),49 (ppp)
57,0.0916666666666666 (~3/32),0.09375 (3/32),49 (ppp)
68,0.2 (~3/16),0.40625 (~1/2),48 (ppp)
67,0.4729166666666666 (~1/2),1.0 (1),41 (ppp)
78,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
65,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
75,0.4979166666666667 (~1/2),0.5 (1/2),33 (pppp)
64,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
48,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
70,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
73,0.2479166666666666 (~1/4),0.5 (1/2),48 (ppp)
57,0.4979166666666667 (~1/2),0.09583333333333334 (~3/32),64 (p)
62,0.4 (~1/2),0.09791666666666667 (~3/32),64 (p)
68,0.3020833333333333 (~1/4),0.30625 (~1/4),64 (p)
91,0.9479166666666666 (~1),1.0 (1),64 (p)
78,0.4979166666666667 (~1/2),0.5 (1/2),61 (p)
65,0.9979166666666668 (~1),1.5 (~9/8),57 (pp)
64,0.3687499999999998 (~1/4),1.0 (1),73 (mp)
60,0.3687499999999998 (~1/4),1.5 (~9/8),73 (mp)
70,0.3687499999999998 (~1/4),1.0 (1),49 (ppp)
61,0.3687499999999998 (~1/4),1.5 (~9/8),96 (f)
81,0.4979166666666667 (~1/2),1.0 (1),33 (pppp)
78,0.1229166666666666 (~1/8),0.75 (3/4),33 (pppp)
70,0.2458333333333332 (~1/4),1.25 (~9/8),33 (pppp)
74,0.3687499999999998 (~1/4),1.0 (1),73 (mp)
57,0.2479166666666666 (~1/4),0.5 (1/2),33 (pppp)
68,0.2479166666666666 (~1/4),1.0 (1),33 (pppp)
55,0.2458333333333332 (~1/4),1.5 (~9/8),33 (pppp)
89,0.7187499999999998 (~3/4),0.7187499999999998 (~3/4),33 (pppp)
