event,duration,transition,velocity
49,4.0 (~9/8),4.0 (~9/8),64 (p)
48,2.0 (~9/8),2.0 (~9/8),64 (p)
52,2.0 (~9/8),2.0 (~9/8),64 (p)
51,4.0 (~9/8),4.0 (~9/8),64 (p)
56,4.0 (~9/8),1.0 (1),64 (p)
51,1.0 (1),1.0 (1),64 (p)
52,3.0 (~9/8),2.0 (~9/8),64 (p)
55,2.0 (~9/8),1.0 (1),64 (p)
51,0.5 (1/2),0.5 (1/2),64 (p)
49,0.5 (1/2),0.5 (1/2),64 (p)
59,2.0 (~9/8),1.0 (1),64 (p)
56,1.0 (1),1.0 (1),64 (p)
58,4.0 (~9/8),1.0 (1),64 (p)
51,0.5 (1/2),0.5 (1/2),64 (p)
52,0.5 (1/2),0.5 (1/2),64 (p)
54,3.0 (~9/8),2.0 (~9/8),64 (p)
56,2.0 (~9/8),1.0 (1),64 (p)
52,1.0 (1),1.0 (1),64 (p)
61,2.0 (~9/8),1.0 (1),64 (p)
49,1.0 (1),1.0 (1),64 (p)
60,2.0 (~9/8),1.0 (1),64 (p)
56,0.5 (1/2),0.5 (1/2),64 (p)
54,0.5 (1/2),0.5 (1/2),64 (p)
64,2.0 (~9/8),1.0 (1),64 (p)
61,1.0 (1),1.0 (1),64 (p)
63,4.0 (~9/8),1.0 (1),64 (p)
56,0.5 (1/2),0.5 (1/2),64 (p)
57,0.5 (1/2),0.5 (1/2),64 (p)
59,3.0 (~9/8),1.0 (1),64 (p)
44,1.0 (1),1.0 (1),64 (p)
61,2.0 (~9/8),1.0 (1),64 (p)
57,1.0 (1),1.0 (1),64 (p)
66,3.0 (~9/8),1.0 (1),64 (p)
54,1.0 (1),1.0 (1),64 (p)
56,2.0 (~9/8),1.0 (1),64 (p)
64,1.0 (1),1.0 (1),64 (p)
63,1.0 (1),1.0 (1),64 (p)
61,0.9583333333333334 (~1),1.0 (1),64 (p)
51,3.0 (~9/8),0.0125 (~1/64),64 (p)
61,2.0 (~9/8),0.9875 (~1),64 (p)
45,1.0 (1),1.0 (1),64 (p)
68,2.0 (~9/8),0.0125 (~1/64),64 (p)
59,2.0 (~9/8),0.9875 (~1),64 (p)
50,1.0 (1),1.0 (1),64 (p)
65,2.0 (~9/8),0.0125 (~1/64),64 (p)
61,2.0 (~9/8),0.9875 (~1),64 (p)
45,1.0 (1),1.0 (1),64 (p)
69,2.0 (~9/8),0.0125 (~1/64),64 (p)
66,3.0 (~9/8),0.9875 (~1),64 (p)
42,1.0 (1),1.0 (1),64 (p)
68,2.0 (~9/8),1.0125 (~1),64 (p)
64,1.0 (1),0.9875 (~1),64 (p)
73,2.0 (~9/8),0.0125 (~1/64),64 (p)
63,1.0 (1),1.0 (1),64 (p)
61,1.0 (1),0.9875 (~1),64 (p)
72,2.0 (~9/8),0.0125 (~1/64),64 (p)
63,2.0 (~9/8),0.9875 (~1),64 (p)
44,1.0 (1),1.0 (1),64 (p)
76,2.0 (~9/8),0.0125 (~1/64),64 (p)
68,2.0 (~9/8),0.9875 (~1),64 (p)
40,1.0 (1),1.0 (1),64 (p)
75,4.0 (~9/8),1.0125 (~1),64 (p)
69,1.0 (1),0.9875 (~1),64 (p)
71,4.0 (~9/8),0.0125 (~1/64),64 (p)
68,1.0 (1),1.0 (1),64 (p)
66,1.0 (1),0.9875 (~1),64 (p)
73,3.0 (~9/8),0.0125 (~1/64),64 (p)
65,1.0 (1),0.9875 (~1),64 (p)
44,1.0 (1),0.0125 (~1/64),64 (p)
61,1.0 (1),0.9875 (~1),64 (p)
69,2.0 (~9/8),0.0125 (~1/64),64 (p)
66,2.0 (~9/8),0.9875 (~1),64 (p)
75,1.0 (1),1.0 (1),64 (p)
76,1.0 (1),0.0125 (~1/64),64 (p)
64,6.0 (~9/8),0.9875 (~1),64 (p)
75,1.0 (1),1.0 (1),64 (p)
73,2.0 (~9/8),1.0 (1),64 (p)
51,1.0 (1),1.0 (1),64 (p)
71,2.0 (~9/8),1.0 (1),64 (p)
68,0.9583333333333334 (~1),1.0 (1),64 (p)
73,2.0 (~9/8),0.0125 (~1/64),64 (p)
68,2.0 (~9/8),1.0 (1),64 (p)
64,1.0 (1),0.9875 (~1),64 (p)
75,2.0 (~9/8),0.0125 (~1/64),64 (p)
70,2.0 (~9/8),0.9875 (~1),64 (p)
47,1.0 (1),1.0 (1),64 (p)
59,2.0 (~9/8),0.0125 (~1/64),64 (p)
68,4.0 (~9/8),0.9875 (~1),64 (p)
44,1.0 (1),1.0 (1),64 (p)
58,4.0 (~9/8),1.0 (1),64 (p)
76,1.0 (1),1.0 (1),64 (p)
75,1.0 (1),0.0125 (~1/64),64 (p)
67,2.0 (~9/8),0.9875 (~1),64 (p)
73,1.0 (1),1.0 (1),64 (p)
71,1.0 (1),0.0125 (~1/64),64 (p)
68,2.0 (~9/8),0.9875 (~1),64 (p)
75,1.0 (1),1.0 (1),64 (p)
80,3.0 (~9/8),0.0125 (~1/64),64 (p)
59,2.0 (~9/8),0.9875 (~1),64 (p)
54,1.0 (1),1.0 (1),64 (p)
53,2.0 (~9/8),0.0125 (~1/64),64 (p)
61,2.9583333333333335 (~9/8),0.9875 (~1),64 (p)
78,1.0 (1),1.0 (1),64 (p)
80,1.0 (1),1.0 (1),64 (p)
81,1.0 (1),0.025 (~1/32),64 (p)
61,1.0 (1),0.975 (~1),64 (p)
83,5.0 (~9/8),0.025 (~1/32),64 (p)
63,1.0 (1),1.0 (1),64 (p)
61,1.0 (1),1.0 (1),64 (p)
63,1.0 (1),1.0 (1),64 (p)
65,1.0 (1),0.975 (~1),64 (p)
54,5.0 (~9/8),0.025 (~1/32),64 (p)
